block,head,cos980,cos437,ratio980,ratio437,ls980,ls437,d_ratio,d_ls
12,1,0.980841,0.980014,1.105274,1.108747,1.081012,1.086928,-0.003473,-0.005916
12,2,0.931682,0.934744,1.745692,1.711135,1.049023,1.0265,0.034558,0.022524
12,3,0.998367,0.998504,1.091056,1.095668,1.091004,1.095554,-0.004613,-0.00455
12,4,0.958213,0.957313,1.359982,1.323919,1.094608,1.070359,0.036063,0.024249
12,5,0.893608,0.871685,1.13455,1.232889,1.002239,0.973276,-0.098339,0.028963
12,6,0.905866,0.907385,2.529243,2.376012,1.03639,1.034776,0.153231,0.001613
12,7,0.959169,0.957257,0.854328,0.918251,0.896501,0.939399,-0.063923,-0.042898
12,8,0.938435,0.92361,0.968161,0.958164,0.934734,0.919268,0.009997,0.015466
12,9,0.984223,0.980638,1.184175,1.163866,1.140167,1.138694,0.020309,0.001473
12,10,0.974997,0.971259,0.801741,0.810352,0.870158,0.863439,-0.008611,0.006719
12,11,0.946487,0.927466,1.121946,1.182839,1.026476,1.0138,-0.060893,0.012677
12,12,0.965578,0.964211,1.395463,1.401702,1.206317,1.196224,-0.00624,0.010093
12,13,0.907474,0.908628,0.992741,0.982728,0.907174,0.907192,0.010012,-1.8e-05
12,14,0.957363,0.943512,1.077878,1.082084,1.029112,1.019364,-0.004206,0.009748
12,15,0.848822,0.826812,0.86428,1.051416,0.914213,0.916652,-0.187136,-0.002439
13,0,0.932413,0.927692,0.826331,0.831249,0.849149,0.851437,-0.004919,-0.002288
13,1,0.951181,0.93843,1.006738,0.990904,0.985658,0.977614,0.015833,0.008044
13,2,0.926883,0.925767,1.461471,1.415224,0.992986,0.991082,0.046247,0.001904
13,3,0.950108,0.937013,1.035179,1.017663,0.9879,0.968885,0.017516,0.019014
13,4,0.977308,0.97721,0.934144,0.937707,0.934502,0.932668,-0.003563,0.001834
13,5,0.955143,0.944637,0.642297,0.621166,0.718069,0.68017,0.021131,0.037899
13,6,0.985824,0.98486,1.070357,1.053766,1.063173,1.048554,0.016592,0.014619
13,7,0.945564,0.943563,0.810329,0.733981,0.923684,0.901366,0.076349,0.022318
