block,head,n,n_images,frac,cosine_mean,a_mean,a_std,a_min,a_max,a_range,ratio_mean,ratio_std
6,3,19,22,0.863636,0.925188,0.962467,0.013684,0.934056,0.983118,0.049062,1.055562,0.041606
6,4,22,22,1.0,0.976588,1.128306,0.010994,1.110135,1.154609,0.044474,1.21849,0.02137
6,5,22,22,1.0,0.947674,0.846085,0.013926,0.816772,0.869835,0.053062,0.741257,0.039535
6,6,22,22,1.0,0.991377,0.954837,0.010497,0.928388,0.976566,0.048179,0.954947,0.013158
6,7,22,22,1.0,0.989066,1.015875,0.014313,0.990657,1.042962,0.052305,1.0227,0.017112
6,8,22,22,1.0,0.960088,0.846705,0.005582,0.835049,0.857598,0.022549,0.729875,0.00685
6,9,22,22,1.0,0.994287,0.960145,0.009595,0.940871,0.984202,0.043331,0.951918,0.013446
6,10,22,22,1.0,0.946414,0.994887,0.010006,0.977112,1.012875,0.035763,1.018136,0.034077
6,11,22,22,1.0,0.941499,0.970077,0.010591,0.953931,0.986882,0.032951,1.038293,0.029393
6,12,22,22,1.0,0.993181,0.966516,0.010537,0.944649,0.991483,0.046834,0.952319,0.013786
6,13,15,22,0.681818,0.908762,0.972112,0.006489,0.961528,0.985253,0.023726,1.861603,0.266284
6,14,22,22,1.0,0.961707,0.930851,0.016184,0.899294,0.961984,0.06269,0.807298,0.053381
6,15,22,22,1.0,0.980979,0.988616,0.012996,0.972252,1.01765,0.045397,0.996799,0.026248
7,0,22,22,1.0,0.990201,1.03706,0.010622,1.008324,1.052434,0.04411,1.043993,0.012507
7,1,22,22,1.0,0.974326,0.993544,0.013707,0.968587,1.024267,0.055681,1.002995,0.020659
7,2,22,22,1.0,0.975688,0.985551,0.007471,0.965493,0.999637,0.034144,1.002673,0.019793
7,3,22,22,1.0,0.973934,0.89677,0.016938,0.862882,0.930652,0.06777,0.904182,0.026737
7,4,16,22,0.727273,0.924766,0.741933,0.009701,0.71685,0.756352,0.039502,0.592068,0.041543
7,5,21,22,0.954545,0.925179,1.017911,0.016674,0.986496,1.047407,0.060911,1.136318,0.036252
7,6,22,22,1.0,0.973846,0.955487,0.01503,0.926579,0.980559,0.053981,0.964849,0.02422
7,7,22,22,1.0,0.969529,1.154439,0.006969,1.14142,1.166068,0.024649,1.295183,0.030362
7,8,22,22,1.0,0.97538,1.024345,0.021268,0.970601,1.05558,0.084979,0.994135,0.029596
7,9,22,22,1.0,0.991513,0.957279,0.01089,0.927927,0.980822,0.052894,0.954625,0.015233
7,10,22,22,1.0,0.998042,1.009218,0.004861,1.000671,1.020824,0.020153,1.010322,0.005289
7,11,22,22,1.0,0.99237,0.956264,0.015097,0.931135,0.99415,0.063015,0.944079,0.020827
7,12,22,22,1.0,0.989025,0.982578,0.00935,0.969391,0.997646,0.028255,0.984202,0.013063
7,13,22,22,1.0,0.971644,0.889402,0.011134,0.868927,0.909117,0.04019,0.874053,0.015055
7,14,22,22,1.0,0.967289,0.816167,0.016837,0.78471,0.846672,0.061962,0.796279,0.048475
