class_id,block,head,profile_cosine,upsample_bilinear_cosine,nearest_cosine,mean8_up,mean9
437,6,4,0.982944,0.975929,0.965931,4.649718,5.563918
437,6,5,0.969169,0.938909,0.922729,3.283958,2.465717
437,6,6,0.994490,0.990916,0.988157,11.647199,11.142228
437,6,7,0.995922,0.986362,0.974666,7.458252,7.876596
437,6,8,0.990244,0.957747,0.956848,5.201996,3.754411
437,6,9,0.998359,0.994777,0.992116,12.096962,11.495938
437,6,10,0.900960,0.940104,0.914204,1.773368,1.811579
437,6,11,0.961482,0.957499,0.952809,3.639358,3.706148
437,6,12,0.997784,0.994451,0.991791,12.711910,12.128260
437,6,13,0.733597,0.909134,0.876308,-0.265392,-0.515896
437,6,14,0.958803,0.961202,0.943840,2.339733,2.060930
437,6,15,0.980180,0.977432,0.964228,3.961827,3.864781
437,7,0,0.994680,0.990594,0.987729,9.136385,9.617262
437,7,1,0.983846,0.963936,0.950140,4.427704,4.352956
437,7,2,0.996085,0.974506,0.962159,3.259956,3.110623
437,7,3,0.982849,0.975974,0.969165,6.464736,5.683207
437,7,4,0.892525,0.887254,0.882644,3.470772,1.607980
437,7,5,0.857962,0.897985,0.872339,2.244534,2.738562
437,7,6,0.979339,0.973016,0.967614,7.978358,7.607169
437,7,7,0.978194,0.965772,0.951222,3.118086,4.079115
437,7,8,0.995774,0.972152,0.962839,6.418058,6.150723
437,7,9,0.997435,0.989226,0.979973,10.303863,9.730861
437,7,10,0.999033,0.997966,0.996960,25.191061,25.546606
437,7,11,0.997828,0.992873,0.988643,6.101295,5.974114
437,7,12,0.992872,0.986136,0.980130,10.123778,9.862307
437,7,13,0.987981,0.965836,0.957215,5.846367,5.270171
437,7,14,0.980287,0.966037,0.957848,3.808434,2.964193
437,7,15,0.557280,0.858186,0.845892,0.584494,-0.359961
437,8,0,0.978512,0.953481,0.923851,2.998009,3.832036
437,8,1,0.974593,0.970947,0.966142,5.191601,4.476576
437,8,2,0.838250,0.892857,0.884692,2.587327,1.593615
437,8,3,0.986102,0.966321,0.961577,4.488022,3.671136
437,8,4,0.997412,0.985602,0.973074,11.458498,11.546325
437,8,5,0.972865,0.962771,0.954720,-1.680560,-1.862693
437,8,6,0.980196,0.961386,0.935176,3.481449,3.963720
437,8,7,0.996160,0.990299,0.984261,6.832459,7.831409
437,8,8,0.996151,0.988826,0.982545,5.501261,5.344880
437,8,9,0.992151,0.980737,0.968409,5.034496,5.086689
437,8,10,0.993178,0.982880,0.974588,6.457898,6.323746
437,8,11,0.992366,0.977371,0.968159,5.104675,5.640858
437,8,12,0.955075,0.952691,0.935546,3.081006,3.338481
437,8,13,0.988931,0.978345,0.968027,6.012832,6.028883
437,8,14,0.974969,0.962063,0.945920,3.908688,4.419766
437,8,15,0.428865,0.813494,0.779263,0.723221,0.609926
437,9,0,0.984976,0.966727,0.945497,3.251991,3.309939
437,9,1,0.543054,0.842725,0.833173,1.435215,0.011780
437,9,2,0.984966,0.956003,0.929569,2.804272,2.187043
437,9,3,0.994140,0.983689,0.975426,5.610761,5.796053
437,9,4,0.991258,0.965984,0.946837,4.734920,5.433736
437,9,5,0.990560,0.971425,0.952174,5.147214,6.137651
437,9,6,0.995912,0.991354,0.987468,8.411598,9.326935
437,9,7,0.998869,0.993826,0.990504,6.293468,5.959151
437,9,8,0.612647,0.823241,0.816729,0.905125,0.012198
437,9,9,0.995278,0.989365,0.980194,6.793413,6.922392
437,9,10,0.995116,0.979107,0.970864,6.990653,6.208003
437,9,11,0.989870,0.971951,0.962170,4.799208,3.483694
437,9,12,0.911797,0.913854,0.899844,4.889300,5.254079
437,9,13,0.989377,0.959400,0.933641,3.151682,2.609771
437,9,14,0.996366,0.984658,0.973486,5.876261,6.171778
437,9,15,0.998670,0.993264,0.988090,9.725101,9.342584
437,10,0,0.934547,0.932853,0.922911,3.936185,2.322487
437,10,1,0.997605,0.994742,0.993408,17.891001,17.435318
437,10,2,0.989937,0.971729,0.968573,5.301380,4.582492
437,10,3,0.954997,0.931864,0.915116,3.023478,1.885026
437,10,4,0.999053,0.995543,0.993856,7.274103,6.655208
437,10,5,0.997912,0.986963,0.975573,9.159024,9.322407
437,10,6,0.991724,0.982394,0.974521,9.014237,8.693519
437,10,7,0.998704,0.987119,0.982397,6.478360,5.232236
437,10,8,0.994866,0.982744,0.975396,6.791368,7.119524
437,10,9,0.985074,0.980316,0.974633,7.506542,7.348544
437,10,10,0.984413,0.981059,0.977163,11.647055,11.090606
437,10,11,0.996187,0.988134,0.983062,7.549087,7.479898
437,10,12,0.984410,0.954030,0.937580,4.520188,3.109307
437,10,13,0.997467,0.991768,0.986975,10.515030,11.070609
437,10,14,0.945893,0.952046,0.945531,4.148729,3.118441
437,10,15,0.992870,0.977027,0.966925,4.681145,4.959154
437,11,0,0.999479,0.995042,0.991944,8.275911,8.460930
437,11,1,0.999236,0.984000,0.971028,9.542890,10.461829
437,11,2,0.994386,0.975344,0.962026,4.650789,5.037508
437,11,3,0.812387,0.827237,0.815308,-0.671928,-1.388093
437,11,4,0.942059,0.937677,0.919199,4.038521,2.535848
437,11,5,0.981458,0.961602,0.945826,3.948545,4.936279
437,11,6,0.892054,0.894965,0.885479,5.687990,5.885139
437,11,7,0.885853,0.921260,0.912438,3.577938,3.125844
437,11,8,0.987410,0.963672,0.945551,3.249257,3.078391
437,11,9,0.993266,0.969874,0.954149,3.741141,3.057047
437,11,10,0.783439,0.889278,0.869310,2.041141,1.260994
437,11,11,0.997167,0.987052,0.982171,6.479939,5.360974
437,11,12,0.878280,0.894359,0.895084,3.862606,1.791117
437,11,13,0.998528,0.981912,0.962281,10.471925,11.305547
437,11,14,0.989587,0.970419,0.957207,4.299818,5.146277
437,11,15,0.998859,0.984415,0.971984,9.217225,9.794621
437,12,0,0.986877,0.984821,0.984411,-2.740112,-3.243167
437,12,1,0.989646,0.980014,0.967650,7.975850,8.843196
437,12,2,0.917532,0.934744,0.907002,1.222759,2.092305
437,12,3,0.999778,0.998504,0.997493,-3.391625,-3.716094
437,12,4,0.970919,0.957313,0.933454,2.728842,3.612767
437,12,5,0.872279,0.871685,0.829319,2.234070,2.754360
437,12,6,0.883997,0.907385,0.874340,0.749539,1.780914
437,12,7,0.966757,0.957257,0.948043,4.649607,4.269508
437,12,8,0.909288,0.923610,0.906400,3.806993,3.647726
437,12,9,0.998651,0.980638,0.959701,7.455266,8.676934
437,12,10,0.994836,0.971259,0.957163,3.218203,2.607879
437,12,11,0.922143,0.927466,0.913528,3.174070,3.754413
437,12,12,0.976233,0.964211,0.951881,3.954950,5.543664
437,12,13,0.898584,0.908628,0.896347,2.807713,2.759220
437,12,14,0.944637,0.943512,0.931835,4.565787,4.940562
437,12,15,0.693360,0.826812,0.799474,2.305815,2.424372
437,13,0,0.927113,0.927692,0.913843,4.267175,3.547086
437,13,1,0.930104,0.938430,0.928005,3.924519,3.888824
437,13,2,0.861966,0.925767,0.915561,1.368436,1.936644
437,13,3,0.920845,0.937013,0.927112,3.557350,3.620185
437,13,4,0.986032,0.977210,0.971583,8.573870,8.039777
437,13,5,0.982135,0.944637,0.934110,3.758793,2.334835
437,13,6,0.998027,0.984860,0.968571,7.969786,8.398288
437,13,7,0.924172,0.943563,0.924348,1.913450,1.404435
437,13,8,0.914430,0.893141,0.878789,2.679725,1.391222
437,13,9,0.910001,0.928408,0.904372,3.252942,3.538801
437,13,10,0.922261,0.918973,0.897374,2.939260,3.829472
