block,head,n,n_images,frac,cosine_mean,a_mean,a_std,a_min,a_max,a_range,ratio_mean,ratio_std
3,12,22,22,1.0,0.967461,0.834432,0.02236,0.801827,0.879318,0.077491,0.818689,0.028826
3,13,22,22,1.0,0.966723,0.872372,0.011834,0.852005,0.891111,0.039107,0.901684,0.017646
3,14,22,22,1.0,0.913527,0.926234,0.003561,0.920109,0.93369,0.013581,0.5995,0.047333
3,15,22,22,1.0,0.967202,0.976007,0.004926,0.968443,0.984906,0.016464,0.835074,0.028902
4,0,22,22,1.0,0.963593,0.931614,0.005917,0.920984,0.942014,0.02103,0.888967,0.023124
4,1,22,22,1.0,0.932655,0.934005,0.01338,0.901933,0.957016,0.055082,0.733692,0.061571
4,2,22,22,1.0,0.958029,0.996139,0.00332,0.988129,1.001087,0.012959,1.045604,0.039654
4,3,22,22,1.0,0.964728,1.029352,0.01116,1.006177,1.045404,0.039227,1.089349,0.028895
4,4,22,22,1.0,0.972504,0.88297,0.012466,0.858708,0.906904,0.048196,0.893355,0.010635
4,5,22,22,1.0,0.945091,1.005913,0.006582,0.990531,1.015005,0.024474,1.104511,0.017038
4,6,22,22,1.0,0.926158,0.968439,0.005221,0.958941,0.979412,0.020471,1.017384,0.02138
4,7,22,22,1.0,0.972283,0.958385,0.002364,0.953562,0.963429,0.009867,0.757877,0.017092
4,9,22,22,1.0,0.959586,1.00256,0.003292,0.995354,1.008509,0.013155,0.878401,0.024679
4,10,22,22,1.0,0.979372,0.868415,0.013147,0.847303,0.896237,0.048934,0.874087,0.02004
4,11,22,22,1.0,0.964911,0.957793,0.007628,0.94218,0.971684,0.029504,1.054485,0.011707
4,12,22,22,1.0,0.9475,0.948877,0.003075,0.943823,0.954635,0.010813,0.831569,0.014883
4,13,21,22,0.954545,0.956266,0.845681,0.026103,0.789357,0.87561,0.086252,0.873353,0.019936
4,14,22,22,1.0,0.970487,0.985081,0.002507,0.980346,0.989842,0.009496,0.761817,0.021037
4,15,22,22,1.0,0.944262,1.00799,0.005449,0.997768,1.016593,0.018826,1.131942,0.029105
5,0,22,22,1.0,0.98724,0.892821,0.010619,0.862555,0.906933,0.044378,0.90406,0.010842
5,1,12,22,0.545455,0.913242,0.673523,0.011783,0.657285,0.695933,0.038648,0.563873,0.025467
