block,head,cosine,mean8,mean9,ratio,abs8,abs9,abs_ratio,std8,std9,std_ratio,ls_scale,rmse,rmse_scaled
14,2,0.963363,4.691348,5.153028,1.098411,4.691348,5.153028,1.098411,1.880473,2.062825,1.096972,1.057977,1.516828,1.488270
14,4,0.973962,5.201771,5.747311,1.104876,5.201771,5.747311,1.104876,1.760720,1.841900,1.046106,1.070385,1.421536,1.367998
14,7,0.954808,5.782906,3.635808,0.628716,5.782906,3.635808,0.628716,0.911242,1.533208,1.682547,0.643395,2.394273,1.172455
14,14,0.956036,4.290905,4.527945,1.055242,4.290905,4.527945,1.055242,1.255206,1.409989,1.123313,1.014112,1.391890,1.390460
15,0,0.987497,4.260075,4.671915,1.096674,4.260075,4.671915,1.096674,1.246658,1.381097,1.107839,1.083834,0.853240,0.767848
15,1,0.971009,2.844723,2.686788,0.944481,2.844723,2.686788,0.944481,1.063042,1.205021,1.133560,0.941440,0.725778,0.703664
15,2,0.989867,4.800572,4.081647,0.850242,4.800572,4.081647,0.850242,1.055812,1.102750,1.044457,0.851416,0.945321,0.600280
15,3,0.985544,3.503347,3.445524,0.983495,3.503347,3.445524,0.983495,1.092296,1.104000,1.010715,0.971676,0.621607,0.612858
15,4,0.999265,-3.397985,-3.521923,1.036474,3.482522,3.614294,1.037838,0.883912,0.921472,1.042492,1.036093,0.188515,0.139582
15,5,0.989443,3.568039,3.899947,1.093023,3.568039,3.899947,1.093023,1.209988,1.129977,0.933874,1.066373,0.639255,0.588336
15,7,0.957599,2.957562,2.442846,0.825966,2.957562,2.442846,0.825966,1.090732,1.201811,1.101839,0.826910,0.955149,0.784053
15,8,0.971015,3.609731,3.939806,1.091440,3.609731,3.939806,1.091440,1.359645,1.371742,1.008897,1.050212,1.015557,0.996925
15,9,0.987027,3.763054,3.675682,0.976782,3.763054,3.675682,0.976782,1.278161,1.443188,1.129113,0.980674,0.638471,0.633836
15,10,0.987407,-2.235047,-1.904719,0.852206,2.388977,2.080883,0.871035,1.060688,1.071720,1.010401,0.872191,0.468337,0.345589
15,11,0.983046,4.097137,3.544890,0.865212,4.097137,3.544890,0.865212,1.429753,1.544523,1.080273,0.875878,0.890144,0.708780
15,12,0.997148,5.818580,6.150850,1.057105,5.818580,6.150850,1.057105,1.410160,1.784482,1.265446,1.066630,0.626629,0.483288
15,13,0.942859,2.532085,2.007365,0.792772,2.532085,2.007365,0.792772,1.218458,1.333727,1.094602,0.808474,0.966166,0.802524
15,14,0.977528,3.808151,3.504994,0.920393,3.808151,3.504994,0.920393,1.081770,1.083201,1.001323,0.905833,0.858380,0.773230
