block,head,n,n_images,frac,cosine_mean,a_mean,a_std,a_min,a_max,a_range,ratio_mean,ratio_std
14,14,20,22,0.909091,0.939632,0.599292,0.014882,0.564791,0.618866,0.054075,0.529103,0.022018
14,15,15,22,0.681818,0.91583,0.651217,0.009238,0.63896,0.669426,0.030466,0.479948,0.01729
15,0,22,22,1.0,0.983246,0.852725,0.013271,0.813087,0.870758,0.057671,0.819361,0.019638
15,1,22,22,1.0,0.958075,0.816148,0.00877,0.796766,0.831795,0.035029,0.722969,0.015404
15,2,22,22,1.0,0.966508,0.776431,0.014097,0.757861,0.818198,0.060336,0.716465,0.017687
15,3,22,22,1.0,0.969432,0.815362,0.00702,0.807504,0.835263,0.027758,0.755869,0.009568
15,4,22,22,1.0,0.99711,1.052083,0.00783,1.038705,1.064979,0.026275,1.056463,0.00757
15,5,22,22,1.0,0.974978,0.849522,0.009368,0.821229,0.870766,0.049537,0.840579,0.015431
15,6,22,22,1.0,0.924355,1.245858,0.091931,1.097464,1.427836,0.330373,1.380838,0.113484
15,7,22,22,1.0,0.938461,0.736772,0.010005,0.723463,0.769474,0.046011,0.620959,0.016511
15,8,22,22,1.0,0.960376,0.784979,0.013327,0.756837,0.822203,0.065366,0.747025,0.019945
15,9,22,22,1.0,0.968418,0.811813,0.01398,0.795834,0.862175,0.066342,0.733788,0.01918
15,10,21,22,0.954545,0.921592,1.077489,0.014027,1.049418,1.093933,0.044515,1.672599,0.209157
15,11,22,22,1.0,0.959775,0.723261,0.013852,0.682153,0.740446,0.058293,0.657807,0.022645
15,12,22,22,1.0,0.974834,0.980432,0.007924,0.962525,0.990659,0.028134,0.921205,0.015283
15,13,10,22,0.454545,0.929475,0.679102,0.039966,0.636031,0.757973,0.121942,0.549649,0.063109
15,14,20,22,0.909091,0.94998,0.721356,0.058136,0.6415,0.837969,0.196469,0.652526,0.081675
